subject_id,priority1,priority2,priority3,priority4,priority5,no_priority,minx,miny,maxx,maxy
8187,0.0000,0.0000,0.0010,0.0228,0.9762,0.0000,-6002446.9563,-3529250.4695,-5999389.4752,-3526957.3586
6047,0.0006,0.0015,0.0343,0.0804,0.8776,0.0056,-7240726.8144,-3054576.5239,-7237669.3333,-3052283.4131
6071,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-7256014.2200,-3061455.8564,-7252956.7389,-3059162.7456
7594,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-5818998.0885,-3270128.9436,-5815940.6073,-3267835.8328
7630,0.0001,0.0002,0.0027,0.0028,0.9671,0.0271,-5818998.0885,-3277008.2762,-5815940.6073,-3274715.1653
7937,0.0013,0.0021,0.0204,0.0125,0.7462,0.2175,-5818998.0885,-3320577.3823,-5815940.6073,-3318284.2714
5752,0.0001,0.0001,0.0007,0.0031,0.9868,0.0092,-7164289.7861,-2976610.7551,-7161232.3050,-2974317.6442
5753,0.0001,0.0001,0.0007,0.0031,0.9868,0.0092,-7197922.0786,-2978903.8659,-7194864.5974,-2976610.7551
8147,0.0001,0.0003,0.0004,0.0002,0.0023,0.9966,-5990217.0318,-3520078.0261,-5987159.5507,-3517784.9152
8168,0.0015,0.0030,0.0179,0.0241,0.7058,0.2477,-5990217.0318,-3524664.2478,-5987159.5507,-3522371.1369
6307,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-7280474.0691,-3114197.4060,-7277416.5880,-3111904.2951
7242,0.0004,0.0008,0.0042,0.0023,0.3819,0.6104,-5739503.5791,-3189870.0639,-5736446.0979,-3187576.9531
7505,0.0001,0.0002,0.0027,0.0028,0.9671,0.0271,-5754790.9847,-3247197.8352,-5751733.5036,-3244904.7243
7628,0.0010,0.0022,0.0052,0.0029,0.0243,0.9643,-5825113.0507,-3277008.2762,-5822055.5696,-3274715.1653
6438,0.0005,0.0031,0.0055,0.6304,0.3603,0.0002,-5684468.9187,-3134835.4036,-5681411.4376,-3132542.2927
8049,0.0004,0.0008,0.0042,0.0023,0.3819,0.6104,-5837342.9753,-3338922.2691,-5834285.4941,-3336629.1582
5756,0.0002,0.0004,0.0006,0.0008,0.0003,0.9978,-7188749.6352,-2978903.8659,-7185692.1540,-2976610.7551
8088,0.0001,0.0003,0.0004,0.0002,0.0023,0.9966,-5855687.8621,-3348094.7125,-5852630.3809,-3345801.6016
5761,0.0001,0.0001,0.0007,0.0031,0.9868,0.0092,-7197922.0786,-2981196.9768,-7194864.5974,-2978903.8659
5773,0.0001,0.0001,0.0007,0.0031,0.9868,0.0092,-7197922.0786,-2988076.3093,-7194864.5974,-2985783.1985
7944,0.0000,0.0000,0.0000,0.0000,0.0008,0.9991,-5852630.3809,-3322870.4931,-5849572.8998,-3320577.3823
5780,0.0002,0.0004,0.0006,0.0008,0.0003,0.9978,-7213209.4842,-2994955.6418,-7210152.0031,-2992662.5310
7277,0.0000,0.0004,0.0068,0.9396,0.0532,0.0000,-5754790.9847,-3199042.5073,-5751733.5036,-3196749.3965
7366,0.0001,0.0002,0.0018,0.0014,0.7646,0.2319,-5763963.4281,-3217387.3941,-5760905.9470,-3215094.2833
7582,0.0000,0.0004,0.0068,0.9396,0.0532,0.0000,-5812883.1262,-3267835.8328,-5809825.6451,-3265542.7219
6520,0.0001,0.0003,0.0004,0.0002,0.0090,0.9900,-5702813.8055,-3141714.7361,-5699756.3244,-3139421.6253
7882,0.1008,0.8743,0.0237,0.0012,0.0000,0.0000,-5852630.3809,-3313698.0498,-5849572.8998,-3311404.9389
