8442,4
8454,4
8448,4
10664,4
10873,3
10938,4
11101,3
11431,4
11484,4
11536,4
11623,4
11694,3
11461,4
11029,3
11513,4
11594,4
11741,4
11869,3
10683,1
10698,4
10985,4
11096,3
11170,4
11643,2
11668,3
11835,2
11777,4
10758,4
11133,2
11238,4
11277,4
11476,4
11558,3
11831,3
10697,4
10872,3
11373,3
11518,4
11681,3
11775,4
11781,4
10824,4
10830,4
10856,4
11013,3
11155,4
11506,3
11773,4
11855,4
10723,4
10794,4
11473,4
11496,4
11533,4
11817,3
10974,4
11088,4
11095,3
11187,4
11246,4
11289,4
11397,2
11620,4
11698,2
11705,4
10671,4
11037,3
11150,4
11346,3
11380,1
11404,4
11541,3
11585,4
11645,3
11760,4
10725,4
10804,4
10816,4
10870,4
11128,4
11165,3
11614,3
11739,4
11845,2
10702,4
10784,4
10828,2
10922,3
11261,4
11443,4
11563,3
11666,3
10712,4
10831,4
11222,4
11401,3
11784,4
10933,4
10948,4
11480,4
11692,2
11697,0
10767,4
10997,4
11142,4
11243,4
11291,4
11422,4
11601,4
10905,4
11427,3
11577,4
11591,4
11799,4
10791,4
11144,4
11468,4
11659,3
10852,4
10894,4
11204,4
11268,4
11351,3
11581,4
11627,4
10679,1
10752,4
10798,4
10967,4
11126,3
11319,4
11489,4
10700,3
10796,4
11414,4
11454,4
11615,4
11664,3
11796,4
10996,4
11038,3
11052,4
11124,3
11504,4
11647,1
11703,4
10757,4
11125,3
11164,3
11266,4
11281,4
11400,3
11559,3
11617,4
10871,3
11163,4
11411,4
11622,4
11867,4
10713,4
11048,4
11152,3
11381,3
11789,4
11848,3
11012,3
11663,4
10684,3
11112,3
11191,4
11464,4
11658,3
11019,1
11050,4
11355,2
11744,4
11748,4
11769,4
11241,4
11084,3
11293,4
11310,3
11419,4
11582,3
11593,4
11636,3
11746,4
10741,4
10832,4
10980,4
11151,4
11177,4
11242,4
11255,4
11690,0
11644,2
10952,4
11160,4
11412,4
11435,2
11523,3
11808,2
11031,3
11213,4
11486,4
11816,4
11535,4
10937,1
11545,3
10744,4
11375,3
11477,4
11679,3
10911,4
11211,0
11312,4
11564,3
11271,4
11646,2
10718,4
11231,4
11349,2
11696,1
11671,2
11764,4
10773,4
10833,4
11795,4
10776,3
10805,4
11761,4
11787,4
10860,4
10927,4
10939,4
11407,4
10708,4
11103,3
11424,3
11607,4
10918,4
10953,4
11201,4
11305,3
11336,3
11364,1
10738,4
11066,3
11425,4
10729,4
11309,3
11429,3
10691,4
11766,4
11148,3
11479,4
10681,4
10707,4
10940,4
11423,4
10778,4
10849,4
11123,3
11573,2
11628,4
11683,2
11072,3
11451,4
11462,4
11718,3
11762,4
10676,1
11629,4
11522,4
11542,4
11723,2
11810,3
10754,4
11710,4
11714,3
11613,3
11569,2
11539,3
11111,3
11370,3
10916,3
11708,4
10909,3
11521,4
11434,2
10989,4
11147,4
11590,4
10783,3
10844,4
11661,3
11790,4
10978,4
11432,3
10785,4
10979,4
11024,2
11354,3
11207,4
11209,1
10893,4
10808,4
11256,4
11824,4
10779,4
10789,3
11011,4
11057,4
11466,4
11640,1
11430,3
11287,4
11362,3
11487,4
11631,4
10670,3
10820,3
11032,3
11352,2
10855,4
10888,4
11641,1
10910,3
10840,4
11524,3
11684,0
11393,3
10890,4
11157,4
11188,4
11836,3
11098,3
10675,4
11851,4
11553,3
10885,4
11278,4
11735,2
11548,3
11726,4
11526,4
11202,4
